id,name,url,region_id,role_id,subrole_id,salary_from,salary_to,salary_currency,salary_gross,salary_mode_id,salary_frequency_id,schedule_id
127963181,Менеджер по записи клиентов,https://api.hh.ru/vacancies/127963181?host=hh.ru,1255,21,70,40000.0,40000.0,RUR,False,MONTH,,flexible
128116214,Менеджер оптовых продаж,https://api.hh.ru/vacancies/128116214?host=hh.ru,1255,21,70,80000.0,,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128004873,Клиентский менеджер отделения банка,https://api.hh.ru/vacancies/128004873?host=hh.ru,1255,21,70,78500.0,,RUR,True,MONTH,,fullDay
128475740,Менеджер по продажам,https://api.hh.ru/vacancies/128475740?host=hh.ru,1255,21,70,65000.0,200000.0,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
127389234,Менеджер по работе с клиентами,https://api.hh.ru/vacancies/127389234?host=hh.ru,1255,21,70,60000.0,,RUR,False,MONTH,,fullDay
128482407,Менеджер по продажам,https://api.hh.ru/vacancies/128482407?host=hh.ru,1255,21,70,70000.0,,RUR,False,MONTH,,fullDay
127478262,Менеджер по работе с клиентами,https://api.hh.ru/vacancies/127478262?host=hh.ru,1255,21,70,80000.0,150000.0,RUR,False,MONTH,,fullDay
127903549,Менеджер-консультант,https://api.hh.ru/vacancies/127903549?host=hh.ru,1255,21,70,60000.0,100000.0,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
124714002,Менеджер по продажам B2B,https://api.hh.ru/vacancies/124714002?host=hh.ru,1255,21,70,80000.0,,RUR,True,MONTH,TWICE_PER_MONTH,fullDay
128067986,Менеджер по продажам,https://api.hh.ru/vacancies/128067986?host=hh.ru,1255,21,70,69000.0,300000.0,RUR,False,MONTH,PER_PROJECT,fullDay
128321553,Сейлз-менеджер,https://api.hh.ru/vacancies/128321553?host=hh.ru,1255,21,70,80000.0,100000.0,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
127492626,Менеджер продаж компьютерного и серверного оборудования,https://api.hh.ru/vacancies/127492626?host=hh.ru,1255,21,70,100000.0,,RUR,False,MONTH,TWICE_PER_MONTH,remote
128457996,Менеджер по продажам,https://api.hh.ru/vacancies/128457996?host=hh.ru,1255,21,70,70000.0,,RUR,False,MONTH,TWICE_PER_MONTH,fullDay
128265565,Менеджер выездного сервиса,https://api.hh.ru/vacancies/128265565?host=hh.ru,1255,21,70,78500.0,,RUR,True,MONTH,,fullDay
127530967,Менеджер по продажам автомобилей OMODA | JAECOO,https://api.hh.ru/vacancies/127530967?host=hh.ru,1255,21,70,,250000.0,RUR,False,MONTH,,shift
